work_tract,home_tract,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03
40109100100,40109100100,95,23,42,30,33,46,16,10,8,77
40109100100,40109100200,29,7,17,5,9,11,9,0,1,28
40109100100,40109100300,29,7,17,5,4,12,13,0,6,23
40109100100,40109100400,4,2,1,1,2,2,0,0,1,3
40109100100,40109100600,5,1,2,2,1,4,0,0,1,4
40109100100,40109100700,19,7,10,2,9,9,1,0,0,19
40109100100,40109100800,27,6,19,2,12,7,8,1,1,25
40109100100,40109100900,8,2,6,0,5,2,1,0,1,7
40109100100,40109101000,4,2,0,2,1,3,0,0,2,2
40109100100,40109101100,21,6,12,3,9,8,4,0,2,19
40109100100,40109101200,6,2,2,2,2,3,1,0,0,6
40109100100,40109101300,7,2,4,1,6,1,0,0,0,7
40109100100,40109101400,5,1,1,3,5,0,0,0,1,4
40109100100,40109101500,5,3,1,1,5,0,0,0,1,4
40109100100,40109101600,2,2,0,0,0,1,1,0,1,1
40109100100,40109101700,10,5,5,0,4,6,0,0,0,10
40109100100,40109101800,5,0,4,1,2,0,3,2,0,3
40109100100,40109101900,11,6,3,2,2,9,0,0,1,10
40109100100,40109102000,13,3,7,3,6,2,5,0,0,13
40109100100,40109102100,4,2,0,2,0,4,0,0,0,4
40109100100,40109102200,11,4,4,3,7,4,0,0,3,8
40109100100,40109102300,14,5,9,0,6,7,1,0,3,11
40109100100,40109102400,5,0,2,3,1,3,1,0,1,4
40109100100,40109102500,2,1,1,0,2,0,0,0,0,2
40109100100,40109102600,1,0,0,1,1,0,0,0,0,1
40109100100,40109102800,2,1,1,0,2,0,0,0,0,2
40109100100,40109102900,1,0,1,0,0,1,0,0,0,1
40109100100,40109103200,9,1,6,2,8,0,1,0,0,9
40109100100,40109103300,7,1,5,1,7,0,0,0,0,7
40109100100,40109103500,1,0,0,1,0,1,0,0,0,1
40109100100,40109103601,4,0,4,0,4,0,0,0,4,0
40109100100,40109103602,1,1,0,0,1,0,0,0,0,1
40109100100,40109103700,1,1,0,0,0,0,1,1,0,0
40109100100,40109103800,1,0,1,0,1,0,0,0,0,1
40109100100,40109103900,3,1,1,1,0,3,0,0,0,3
40109100100,40109104000,1,1,0,0,0,0,1,0,0,1
40109100100,40109104200,2,2,0,0,2,0,0,0,0,2
40109100100,40109104400,6,4,1,1,1,5,0,0,2,4
40109100100,40109104500,1,0,1,0,0,0,1,0,0,1
40109100100,40109104600,2,0,0,2,2,0,0,0,0,2
40109100100,40109104800,1,0,1,0,0,1,0,0,0,1
40109100100,40109104900,1,0,0,1,0,1,0,0,0,1
40109100100,40109105000,1,0,1,0,0,0,1,0,1,0
40109100100,40109105100,6,4,2,0,4,2,0,0,3,3
40109100100,40109105201,8,1,1,6,4,4,0,0,1,7
40109100100,40109105202,2,0,2,0,0,2,0,0,0,2
40109100100,40109105300,4,1,3,0,0,4,0,0,0,4
40109100100,40109105400,2,0,2,0,0,2,0,2,0,0
40109100100,40109105500,1,0,1,0,0,1,0,0,0,1
40109100100,40109105600,10,5,2,3,6,4,0,0,0,10
40109100100,40109105700,1,1,0,0,0,1,0,1,0,0
40109100100,40109105800,3,0,3,0,2,1,0,0,0,3
40109100100,40109105903,9,2,6,1,6,1,2,0,3,6
40109100100,40109105904,7,0,6,1,3,4,0,0,0,7
40109100100,40109105905,9,0,9,0,2,7,0,0,1,8
40109100100,40109105906,5,4,1,0,0,5,0,0,1,4
40109100100,40109105907,11,0,10,1,1,9,1,0,3,8
40109100100,40109106000,8,0,7,1,0,1,7,0,0,8
40109100100,40109106100,10,2,5,3,4,6,0,0,0,10
40109100100,40109106200,5,1,1,3,2,0,3,0,3,2
40109100100,40109106301,13,1,12,0,3,7,3,0,0,13
40109100100,40109106302,15,3,12,0,5,10,0,0,0,15
40109100100,40109106303,12,7,1,4,2,7,3,0,2,10
40109100100,40109106401,31,6,14,11,7,9,15,2,12,17
40109100100,40109106402,21,4,10,7,9,6,6,5,4,12
