tract_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
40109100100,1718,470,934,314,357,793,568,0,57,10,98,222,50,151,34,26,46,28,113,22,120,135,230,37,207,46,86,1361,172,60,83,1,41,1581,137,172,332,415,329,826,892
40109100200,2986,767,1665,554,732,1220,1034,2,96,19,104,183,91,317,74,50,135,48,197,47,231,296,438,38,365,96,159,2311,330,98,139,0,108,2676,310,314,634,744,527,1488,1498
40109100300,1472,280,779,413,255,391,826,1,89,21,63,63,41,111,21,30,86,22,110,52,98,188,220,16,124,31,85,1318,67,22,35,0,30,1391,81,116,295,366,415,754,718
40109100400,869,216,457,196,312,455,102,1,9,8,29,56,24,98,26,12,19,14,28,18,114,62,159,15,109,27,41,201,629,11,8,0,20,828,41,126,200,217,110,401,468
40109100500,868,268,443,157,288,375,205,0,10,4,27,49,23,87,17,12,28,13,42,15,101,67,155,17,118,23,60,258,558,10,22,1,19,830,38,90,182,230,98,409,459
40109100600,516,112,304,100,81,151,284,0,31,4,19,14,24,26,14,7,20,7,39,11,42,75,86,13,46,7,31,455,29,16,4,0,12,483,33,46,103,142,113,251,265
40109100700,743,237,382,124,196,331,216,1,22,3,32,48,29,88,24,10,32,9,46,24,57,63,88,14,101,21,31,549,107,31,22,0,34,671,72,73,154,166,113,399,344
40109100800,1187,322,640,225,324,529,334,0,25,6,49,98,42,119,34,18,47,21,83,18,91,100,157,23,158,23,75,827,173,41,103,2,41,1073,114,146,258,270,191,642,545
40109100900,853,181,512,160,172,317,364,1,33,8,36,40,37,85,15,13,55,15,57,27,58,110,114,7,69,18,55,708,67,31,34,0,13,793,60,83,191,220,178,391,462
40109101000,898,266,460,172,289,386,223,1,26,5,41,81,37,114,21,18,34,10,55,20,71,72,95,9,134,27,27,568,126,22,152,2,28,808,90,111,186,184,151,507,391
40109101100,553,194,301,58,161,262,130,2,10,2,20,16,15,54,5,9,18,12,34,19,55,63,69,14,90,19,27,423,81,23,15,1,10,506,47,45,105,132,77,302,251
40109101200,780,250,400,130,200,322,258,1,22,6,21,45,29,77,26,16,29,8,55,20,52,58,104,8,116,28,59,594,89,31,42,1,23,712,68,77,164,150,139,393,387
40109101300,1161,249,669,243,429,597,135,0,10,8,35,68,46,132,25,14,41,18,34,11,149,97,236,13,144,25,55,230,865,17,12,2,35,1116,45,145,295,347,125,475,686
40109101400,480,112,256,112,144,241,95,0,10,2,11,32,15,63,15,2,18,7,14,4,28,67,82,6,60,14,30,123,329,10,9,1,8,441,39,68,102,132,66,224,256
40109101500,873,224,438,211,231,362,280,1,25,7,28,28,23,65,20,13,36,7,36,21,67,178,151,11,67,23,66,409,390,17,31,1,25,848,25,85,175,235,154,458,415
