h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
401091001001001,53,15,21,17,17,21,15,0,2,0,3,5,0,5,3,0,0,1,1,1,6,3,8,4,5,2,4,49,3,1,0,0,0,49,4,6,8,17,7,22,31
401091001001002,18,4,11,3,7,5,6,0,0,0,1,2,0,1,0,1,0,0,3,0,2,2,1,0,2,1,2,15,2,1,0,0,0,18,0,1,3,5,5,12,6
401091001001003,13,5,7,1,1,8,4,0,1,0,0,1,0,2,0,0,1,0,2,0,0,1,2,0,3,0,0,10,3,0,0,0,0,11,2,2,1,3,2,7,6
401091001001004,23,8,12,3,5,6,12,0,1,0,1,3,1,2,1,0,2,0,0,0,5,1,3,0,2,0,1,23,0,0,0,0,0,22,1,0,5,4,6,8,15
401091001001006,36,9,21,6,3,19,14,0,3,0,6,5,1,0,1,0,2,1,2,0,1,2,6,0,4,1,1,30,4,0,1,0,1,32,4,4,6,10,7,15,21
401091001001007,5,1,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,5,0,0,0,0,0,5,0,0,2,1,1,3,2
401091001001012,26,4,19,3,2,10,14,0,0,1,2,4,0,2,0,0,0,0,0,0,1,2,4,0,3,2,5,24,0,0,0,0,2,25,1,2,8,6,6,16,10
401091001001026,10,2,7,1,1,6,3,0,1,0,1,3,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,7,3,0,0,0,0,10,0,0,2,5,1,4,6
401091001001027,6,2,3,1,1,2,3,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,6,0,0,1,2,1,4,2
401091001001028,16,5,9,2,3,5,8,0,0,0,0,3,1,1,1,1,0,0,3,0,2,0,0,0,2,2,0,12,2,2,0,0,0,15,1,1,2,5,3,8,8
401091001001029,18,3,11,4,4,8,6,0,0,0,1,1,0,4,0,0,0,0,1,0,4,2,2,0,0,0,3,14,3,0,1,0,0,18,0,1,4,6,4,5,13
401091001001030,19,3,10,6,6,9,4,0,1,0,2,0,0,0,1,1,1,0,1,0,1,2,1,1,3,0,4,15,3,0,1,0,0,19,0,2,2,9,3,10,9
401091001001033,4,0,2,2,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,4,0,1,1,1,1,3,1
401091001001034,22,6,11,5,6,12,4,0,1,0,2,3,0,3,0,0,1,0,1,1,0,1,6,1,1,0,1,20,2,0,0,0,0,22,0,1,7,5,3,7,15
401091001001035,21,3,17,1,5,10,6,0,1,0,1,1,0,4,0,1,3,0,0,0,0,2,6,0,0,1,1,17,3,0,0,0,1,21,0,5,6,3,4,6,15
401091001001037,19,8,9,2,5,7,7,0,1,0,1,5,0,0,0,1,0,2,1,0,3,0,2,0,3,0,0,18,1,0,0,0,0,16,3,3,7,0,1,9,10
401091001001038,14,7,3,4,5,9,0,0,0,0,0,4,0,2,0,1,0,1,0,0,1,0,1,2,2,0,0,10,1,1,0,0,2,8,6,2,2,2,1,8,6
401091001001039,278,78,156,44,52,146,80,0,7,0,13,50,12,27,7,1,7,6,17,3,17,17,32,4,33,8,17,171,44,6,52,0,5,238,40,26,59,56,59,131,147
401091001001042,15,2,10,3,5,3,7,0,1,0,0,1,0,2,0,0,0,1,2,0,1,0,3,1,3,0,0,9,1,5,0,0,0,10,5,1,5,5,2,9,6
401091001001043,47,17,22,8,11,23,13,0,1,0,5,9,1,3,0,1,2,0,4,1,2,3,6,0,5,4,0,34,4,8,1,0,0,42,5,5,8,8,9,26,21
401091001001044,29,5,19,5,6,14,9,0,1,0,1,4,1,2,0,0,1,1,1,0,5,1,6,0,5,0,0,24,5,0,0,0,0,26,3,8,6,6,4,17,12
401091001001047,15,6,6,3,2,8,5,0,1,0,0,5,1,1,0,0,1,0,0,0,2,0,1,1,2,0,0,9,5,0,1,0,0,15,0,1,3,3,2,3,12
401091001001048,17,3,8,6,3,9,5,0,2,0,0,2,2,1,0,1,0,0,2,0,1,1,0,0,1,1,3,15,1,0,0,0,1,16,1,0,4,3,7,12,5
401091001002000,18,5,10,3,3,9,6,0,1,0,1,1,0,3,0,0,1,0,1,1,0,0,7,1,0,0,1,13,4,1,0,0,0,17,1,1,3,5,4,7,11
401091001002001,17,2,9,6,3,8,6,0,1,0,1,2,1,1,1,0,0,0,4,0,1,1,1,0,1,1,1,13,2,1,1,0,0,17,0,1,1,11,2,7,10
401091001002002,7,4,2,1,1,4,2,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,6,1,0,1,1,1,6,1
401091001002003,13,4,8,1,1,7,5,0,1,1,0,1,0,1,0,1,1,0,0,0,0,3,1,1,1,0,1,13,0,0,0,0,0,13,0,2,0,3,4,4,9
401091001002004,12,3,8,1,3,6,3,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,2,0,2,2,0,11,1,0,0,0,0,11,1,0,1,4,4,8,4
401091001002005,21,9,7,5,3,8,10,0,0,0,1,1,1,2,0,1,0,0,2,0,2,2,5,0,2,0,2,20,1,0,0,0,0,20,1,2,2,4,4,6,15
401091001002006,19,5,11,3,2,7,10,0,3,0,0,3,0,2,0,0,3,0,0,0,1,0,3,0,3,1,0,19,0,0,0,0,0,19,0,1,3,4,6,12,7
401091001002007,16,4,9,3,7,3,6,0,0,0,0,0,1,2,0,1,0,0,5,0,1,0,2,0,3,1,0,12,2,1,0,0,1,14,2,1,2,4,5,9,7
401091001002008,24,6,17,1,4,17,3,0,1,0,3,2,0,2,0,0,1,0,2,0,1,2,3,1,4,1,1,18,2,3,0,0,1,21,3,3,3,6,6,13,11
401091001002009,25,3,17,5,3,17,5,0,0,1,1,2,0,3,0,3,0,0,1,0,2,1,2,1,6,0,2,19,6,0,0,0,0,25,0,0,8,9,5,14,11
401091001002010,17,6,8,3,7,1,9,0,1,0,3,1,0,0,0,0,1,0,3,0,2,1,3,1,1,0,0,17,0,0,0,0,0,15,2,1,5,3,2,10,7
401091001002011,19,3,13,3,2,7,10,0,1,0,4,1,1,2,0,0,0,0,1,0,2,1,2,0,3,0,1,16,0,2,0,0,1,17,2,2,2,6,6,11,8
401091001002012,7,2,4,1,1,2,4,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,2,0,0,1,7,0,0,0,5,0,3,4
401091001002013,28,13,11,4,4,15,9,0,1,0,3,2,0,2,2,1,2,1,1,3,1,4,2,0,3,0,0,23,1,1,2,0,1,27,1,2,4,5,4,15,13
401091001002014,30,7,17,6,6,17,7,0,2,0,2,3,3,2,0,0,0,1,3,1,2,0,2,0,6,1,2,26,1,1,1,0,1,29,1,2,7,7,7,14,16
401091001002016,8,3,4,1,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,1,1,8,0,0,0,0,0,8,0,1,2,0,2,5,3
401091001002017,5,0,5,0,1,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,5,0,1,0,3,1,4,1
401091001002018,13,2,9,2,2,2,9,0,1,1,0,0,1,0,1,0,1,0,1,2,0,3,1,0,1,0,0,11,0,1,0,0,1,13,0,1,4,0,6,4,9
