"work_tract","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05","createdate"
"40001376600",257,43,155,59,67,122,68,0,0,3,0,85,0,12,0,0,3,14,0,0,1,63,37,0,0,37,2,185,2,54,7,0,9,232,25,38,65,75,36,139,118,0,0,0,0,0,0,0,0,0,0,201709190
"40001376700",1154,208,702,244,221,380,553,38,0,10,7,495,20,98,24,7,29,3,4,0,5,204,86,0,59,9,56,780,12,277,8,1,76,1084,70,113,363,326,144,574,580,0,0,0,0,0,0,0,0,0,0,605127570
"40001376800",228,26,141,61,24,63,141,0,1,29,0,0,0,3,0,0,0,0,4,0,0,127,7,0,0,1,56,131,12,60,0,0,25,220,8,17,69,65,51,87,141,0,0,0,0,0,0,0,0,0,0,181538271
"40001376900",3104,728,1706,670,705,1703,696,65,0,28,65,747,64,365,21,9,84,9,78,8,141,458,428,0,182,12,340,1506,52,1312,26,2,206,2757,347,381,830,753,412,1336,1768,0,0,0,0,0,0,0,0,0,0,1290938816
"40001377000",4,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,4,0,1,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,20170919
"40003955600",440,105,220,115,124,153,163,4,8,65,12,45,54,20,5,8,57,0,28,0,1,42,4,0,8,0,79,407,3,13,3,1,13,428,12,31,97,119,88,230,210,0,0,0,0,0,0,0,0,0,0,746324003
"40003955700",638,169,307,162,175,251,212,3,110,0,85,8,34,102,0,0,1,1,5,0,0,67,122,0,51,10,39,590,12,21,5,1,9,597,41,57,162,159,91,297,341,0,0,0,0,0,0,0,0,0,0,403418380
"40003956000",428,79,209,140,114,158,156,0,23,4,39,9,37,34,7,3,19,1,0,0,4,114,3,0,0,12,119,400,11,10,2,1,4,419,9,30,116,119,84,212,216,0,0,0,0,0,0,0,0,0,0,524443894
"40005587600",365,59,212,94,30,168,167,0,31,5,4,0,0,28,0,0,0,0,0,0,5,36,0,37,0,1,218,271,19,57,3,0,15,352,13,33,104,113,56,201,164,0,0,0,0,0,0,0,0,0,0,201709190
"40005587700",2170,564,1098,508,760,997,413,2,24,18,55,50,65,340,136,12,143,6,47,0,30,205,360,16,370,73,218,1676,120,251,18,2,103,2078,92,195,594,561,256,950,1220,0,0,0,0,0,0,0,0,0,0,1654015358
"40005587800",778,206,412,160,136,498,144,0,3,0,18,524,4,24,10,0,0,0,1,0,5,151,2,0,0,10,26,651,10,81,6,0,30,739,39,96,221,171,84,525,253,0,0,0,0,0,0,0,0,0,0,443760218
"40005587900",190,33,106,51,42,96,52,4,7,1,39,12,3,7,20,3,0,27,1,0,12,41,9,0,0,0,4,163,2,19,0,0,6,184,6,25,57,47,28,113,77,0,0,0,0,0,0,0,0,0,0,584956651
"40007951600",545,73,306,166,89,210,246,81,110,3,33,21,34,17,31,0,10,0,3,0,0,131,2,1,3,14,51,510,7,12,5,0,11,436,109,73,162,130,107,314,231,0,0,0,0,0,0,0,0,0,0,484102056
"40007951700",542,97,286,159,74,217,251,3,162,0,72,7,15,19,68,5,2,15,21,0,2,42,1,0,0,52,56,512,5,10,5,0,10,451,91,80,146,143,76,378,164,0,0,0,0,0,0,0,0,0,0,121025514
"40007951800",754,162,390,202,146,310,298,2,42,54,265,1,21,42,9,0,53,2,19,0,2,63,135,0,20,3,21,700,16,13,9,1,15,618,136,86,189,204,113,415,339,0,0,0,0,0,0,0,0,0,0,766494922
"40009966100",4771,1231,2551,989,1241,1720,1810,2,829,28,308,345,272,775,322,43,92,89,133,0,124,391,201,24,570,107,116,4280,191,145,54,4,97,4296,475,535,1230,1152,623,2830,1941,0,0,0,0,0,0,0,0,0,0,NA
"40009966200",3698,894,2042,762,702,1189,1807,9,1101,1,408,19,274,277,112,25,165,128,48,0,15,91,715,0,260,46,4,3352,109,126,32,2,77,3341,357,383,935,949,537,2278,1420,0,0,0,0,0,0,0,0,0,0,NA
"40009966500",364,81,209,74,119,131,114,8,92,13,0,25,1,67,44,0,7,0,3,0,0,48,0,0,12,14,30,328,8,11,7,0,10,331,33,34,101,84,64,205,159,0,0,0,0,0,0,0,0,0,0,645469408
"40009966800",1959,435,1053,471,417,813,729,15,177,56,189,6,52,217,83,6,58,18,50,0,399,107,237,6,70,38,175,1762,66,68,21,2,40,1802,157,203,532,536,253,1035,924,0,0,0,0,0,0,0,0,0,0,1452306168
"40011958600",862,221,422,219,236,313,313,1,6,15,11,254,38,46,0,21,30,85,26,0,1,111,142,8,32,20,15,801,25,14,8,0,14,784,78,96,225,205,115,425,437,0,0,0,0,0,0,0,0,0,0,544614813
"40011958700",599,126,308,165,144,194,261,11,24,0,154,0,13,66,35,3,19,0,3,0,6,126,6,87,21,5,20,537,9,37,5,0,11,530,69,70,159,160,84,305,294,0,0,0,0,0,0,0,0,0,0,484102056
"40011958800",131,19,63,49,21,37,73,0,7,4,1,0,3,0,67,0,4,0,0,0,1,0,0,0,0,10,34,120,2,7,0,0,2,127,4,16,44,39,13,96,35,0,0,0,0,0,0,0,0,0,0,161367352
"40011958900",931,189,478,264,277,422,232,8,52,0,76,62,64,110,3,25,117,2,34,0,14,0,74,61,71,24,134,780,60,64,8,0,19,874,57,119,272,230,121,469,462,0,0,0,0,0,0,0,0,0,0,1230426059
"40011959000",342,60,203,79,90,128,124,0,3,21,5,0,7,9,2,1,2,0,0,0,0,152,101,0,0,4,35,305,7,23,1,0,6,325,17,32,83,98,69,106,236,0,0,0,0,0,0,0,0,0,0,383247461
"40013795600",189,27,103,59,38,53,98,19,48,1,0,6,32,8,8,0,1,0,3,0,1,56,0,0,0,0,6,161,0,21,0,0,7,183,6,22,65,42,33,124,65,0,0,0,0,0,0,0,0,0,0,302563785
"40013795700",387,72,202,113,90,164,133,27,7,5,11,2,4,31,7,4,22,0,6,0,45,162,6,0,12,2,34,334,4,33,1,0,15,374,13,41,91,102,81,169,218,0,0,0,0,0,0,0,0,0,0,605127570
"40013795900",165,17,108,40,24,65,76,10,0,12,25,0,0,7,7,0,34,0,3,0,0,65,0,0,0,0,2,133,6,22,0,1,3,158,7,11,51,52,34,56,109,0,0,0,0,0,0,0,0,0,0,201709190
"40013796001",657,166,349,142,104,285,268,0,0,14,49,395,49,38,53,0,3,0,4,0,20,2,4,9,12,5,0,569,12,54,2,0,20,593,64,86,182,137,86,509,148,0,0,0,0,0,0,0,0,0,0,766494922
"40013796002",2676,781,1385,510,440,1528,708,9,0,12,78,89,103,104,23,27,12,0,5,0,53,233,45,1542,124,39,178,1653,74,769,28,0,152,2478,198,263,619,712,301,1180,1496,0,0,0,0,0,0,0,0,0,0,867349517
"40013796100",5726,1840,2888,998,1492,2679,1555,0,6,3,253,266,103,790,35,4,113,49,82,374,107,14,1163,51,1065,48,1200,4416,195,798,72,5,240,5370,356,512,1249,1344,781,2478,3248,0,0,0,0,0,0,0,0,0,0,1775040872
"40013796200",1694,313,914,467,498,705,491,0,26,49,22,0,0,68,6,7,8,5,46,173,2,764,380,1,71,66,0,1412,50,143,27,1,61,1630,64,130,428,447,376,635,1059,0,0,0,0,0,0,0,0,0,0,544614813
"40013796300",2359,587,1215,557,680,1051,628,0,0,8,67,18,44,279,278,89,126,14,82,44,50,610,260,3,221,8,158,1975,60,232,16,0,76,2220,139,186,562,623,401,949,1410,0,0,0,0,0,0,0,0,0,0,1089229626
"40013796400",1060,268,602,190,165,580,315,0,0,0,28,282,292,17,28,14,0,11,97,0,182,6,53,0,33,0,17,812,45,128,29,2,44,981,79,111,262,254,165,632,428,0,0,0,0,0,0,0,0,0,0,403418380
